id,sentence,info_snippets,info_target,info_sentiment_score,info_aspects
390,Barclays appoints JPMorgan's Paul Compton as new COO,['Barclays appoints JPMorgan's Paul Compton'],JPMorgan,-0.014,['Corporate/Appointment/Executive Appointment']
391,"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",['is 'taking legal advice''],EasyJet,-0.238,['Corporate/Legal']
392,NYSE owner ICE considers offer for LSE,['considers offer for'],LSE,0.396,['Corporate/Rumors/Scoop']
393,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,['LSE surges as ICE says mulling offer'],ICE,0.226,['Corporate/M&A']
394,News FeedFTSE 101 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,['LSE surges as ICE says mulling offer'],LSE,0.843,['Corporate/M&A']
395,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),['Set To Reinstate Dividend '],Balfour Beatty plc,0.413,['Corporate/Dividend Policy']
396,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),['Set To Reinstate Dividend '],Centrica PLC,0.403,['Corporate/Dividend Policy/Dividend']
397,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),['Set To Reinstate Dividend '],Rival National Grid plc,0.408,['Corporate/Dividend Policy/Dividend']
398,Intertek swings to Â£347 mln loss on oil's slump,['swings to Â£347 mln loss'],Intertek,-0.734,['Market/Volatility']
399,Sanofi poaches AstraZeneca scientist as new research head,['Sanofi poaches AstraZeneca scientist'],Sanofi,0.066,['Corporate/Appointment/Executive Appointment']
400,Tesco breaks its downward slide by cutting sales decline in half,['by cutting sales decline'],Tesco,0.172,['Corporate/Sales']
401,"News FeedSchroders books solid earnings growth, several board changes",['s books solid earnings growth'],Schroders,0.5,['Stock/Fundamentals']
402,Intertek Group announces strategic update outlining its plan,['strategic update outlining its plan'],Intertek Group,0.046,['Corporate/Strategy']
403,London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,['seals Â£22 billion merger with'],London Stock Exchange,0.327,['Corporate/M&A/M&A']
404,NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,['owner ICE may gatecrash Deutsche Boerse-LSE merger'],LSE,-0.2,['Corporate/M&A/Proposed Merger']
405,AB InBev to Sell SABMiller Stake in China's Snow Beer,['to Sell SABMiller Stake in'],SABMiller,-0.045,['Stock/Signal/Sell Signal']
406,LSE-Deutsche Boerse merger would signal end to exchange mega-deals,['merger would signal end to'],LSE,0.105,['Corporate/M&A/M&A']
407,RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,['to Scrap U.K. Treasury's Dividend Rights'],RBS,0.066,['Corporate/Dividend Policy']
408,Industry NewsWolseley confident in reslilience amid mixed markets,['confident in reslilience amid mixed markets'],Wolseley,0.287,['Market/Market']
409,Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,['criticised for 'disgraceful' advert showing domestic worker being slapped'],Tesco,-0.498,['Corporate/Reputation']
410,FTSE edges up as investors cheer Kingfisher results,['as investors cheer Kingfisher results'],Kingfisher,0.678,['Stock/Price Action']
411,Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,['Lender Cuts Dividends to Shore Up Capita'],Barclays,0.261,['Corporate/Dividend Policy']
412,Britain's FTSE gets lift from Prudential results,['gets lift from Prudential results'],Prudential,0.582,['Corporate/Financial']
413,Amazon's grocery deal with Morrisons is only the beginning,['grocery deal with Morrisons '],Morrisons,0.389,['Corporate/Sales/Deal']
414,ICE Said to Start Lining Up Financing for LSE Bidding War,['Said to Start Lining Up Financing for'],LSE,0.328,['Corporate/Rumors/Rumors']
415,"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",['to Withdraw Staff From'],Statoil,-0.242,['Corporate/Appointment/Staff Hiring']
416,Merkel's Government Said to Support Deutsche Boerse-LSE Merger,['Support Deutsche Boerse-LSE Merger'],LSE,0.358,['Corporate/M&A/Proposed Merger']
417,Aviva weighs cash handout after beating profit forecast,['weighs cash handou'],Aviva,0.377,['Corporate/Dividend Policy']
418,"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",['Reports Strong 2015 Growth'],WPP,0.555,['Stock/Fundamentals']
419,"Saudi Aramco, Shell plan to break up Motiva, divide up assets","['Shell plan to break up Motiva, divide up assets']",Saudi Aramco,-0.142,['Corporate/Strategy/Reorganization']
420,"Saudi Aramco, Shell plan to break up Motiva, divide up assets","['plan to break up Motiva, divide up assets']",Shell,-0.102,['Corporate/Strategy/Reorganization']
421,AB InBev to sell more SAB assets as seeks EU deal approval,['to sell more SAB assets as seeks'],SAB,-0.079,['Corporate/M&A/M&A']
422,Tesco's Sales Pickup Isn't Enough,['Sales Pickup Isn't Enough'],Tesco,-0.23,['Corporate/Sales']
423,Spain's CaixaBank Expects To Close Deal For Banco BPI,['Expects To Close Deal For'],CaixaBank,0.375,['Corporate/Sales/Deal']
424,ITV share price: Group mulls takeover of Canada's Entertainment One,['Group mulls takeover of Canada's Entertainment One'],ITV,0.422,['Corporate/M&A/M&A']
425,Entertainment One dispels ITV takeover rumours,['One dispels ITV takeover rumours'],Entertainment One,0.138,['Corporate/Rumors']
426,Entertainment One dispels ITV takeover rumours,['dispels ITV takeover rumours'],ITV,0.003,['Corporate/Rumors']
427,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,['to Sell Majority Stake in Bank BPH's Core Bank'],Bank BPH,0.213,['Stock/Price Action/Volatility/Sell-Off']
428,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,['to Sell Majority Stake in Bank BPH's Core Bank'],GE,0.211,['Stock/Price Action/Volatility/Sell-Off']
429,Tata Steel working with StanChart for UK unit sale - source,['with StanChart for UK unit sale - source'],StanChart,0.218,['Stock/IPO']
430,Tata Steel working with StanChart for UK unit sale - source,['working with StanChart for UK unit sale'],Tata Steel,0.143,['Corporate/Sales/Deal']
431,Crown Castle buys Tower Development Corp for $461 million,['Crown Castle buys Tower Development Corp'],Tower Development,0.366,['Corporate/M&A/M&A']
432,Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,['sells half of stake in ecommerce site Lazada to Alibaba for Â£90m'],Lazada,-0.038,['Stock/Price Action/Volatility/Sell-Off']
433,Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£91m,['sells half of stake in ecommerce site Lazada to Alibaba for Â£90m'],Tesco,0.365,['Stock/Price Action/Volatility/Sell-Off']
434,"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",['Agree on Plan for BPI Angola Exposure'],CaixaBank,0.244,['Corporate/Strategy/Company Agreement']
435,"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",['Isabel dos Santos Reach Agreement Over Angola Exposure'],CaixaBank,0.243,['Corporate/Strategy/Company Agreement']
436,Spain's Caixabank launches new takeover bid for Banco BPI,['launches new takeover bid for Banco BPI'],Caixabank,0.185,['Corporate/M&A/M&A']
437,"Despite sales growth, UK's Tesco cautions recovery to be bumpy","['Despite sales growth,']",Tesco,-0.077,['Corporate/Sales']
438,ITV to pursue takeover of Canada's Entertainment One: Bloomberg,['to pursue takeover of Canada's Entertainment One'],ITV,0.199,['Corporate/M&A/M&A']
439,Shire Sees Baxalta Deal Closing as Expected After New Rules,['Sees Baxalta Deal Closing as Expected'],Shire,0.224,['Corporate/Sales/Deal']
440,"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",['to Buy Barclay's Wealth Management Unit'],OCBC,0.257,['Corporate/M&A/M&A']
441,Tesco share price steady as analysts weigh in on results,['share price steady'],Tesco,0.052,['Stock/Price Action']
442,Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,['share price lifts'],Lloyds,0.292,['Stock/Price Action']
443,Should You Follow Berkshire Hathaway Into Apple Stock?,['Should You Follow Berkshire Hathaway Into Apple Stock?'],Berkshire Hathaway,0,['Corporate/Rumors/Scoop']
444,Morrisons book second consecutive quarter of sales growth,['second consecutive quarter of sales growth'],Morrisons,0.43,['Corporate/Sales']
445,Royal Mail gets mixed bag from Ofcom postal regulation report,['postal regulation report'],Royal Mail,-0.084,['Corporate/Regulatory']
446,UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,['of illegal tips to plumber'],Barclays,-0.34,['Stock/Insider Activity']
447,"EU regulators clear $100 billion-plus AB InBev, SABMiller deal","['AB InBev, SABMiller deal']",SABMiller,0.392,['Corporate/Sales/Deal']
448,Retail giant Kingfisher reports 'solid' start to the year,['reports 'solid' start to the year'],Kingfisher,0.368,['Corporate/Company Communication']
449,"Berkshire discloses unit's ties to Iran, opens probe","['discloses unit's ties to Iran, opens probe']",Berkshire,-0.288,['Corporate/Company Communication']
450,Berkshire Hathaway names Kara Raiguel to lead General Re unit,['names Kara Raiguel to lead General Re unit'],Berkshire,0.077,['Corporate/Appointment']
451,"European stocks hover near 3-week low, Dialog and BHP slump",['stocks hover near 3-week low'],Dialog,-0.584,['Stock/Price Action/Volume/Unusual Low Volume']
452,Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,['bucks weak markets'],Hargreaves Lansdown,0.571,['Market/Market']
453,Australia clears AB Inbev's $100 billion SABMiller buyout plan,['SABMiller buyout plan'],AB InBrev,0.437,['Corporate/Strategy/Buyout']
454,Goodwin not to face Scottish prosecution over RBS,['not to face Scottish prosecution over RBS'],RBS,0.114,['Corporate/Legal']
455,Royal Mail turnaround proving expensive in tough UK market,['in tough UK market'],Royal Mail,-0.057,['Market/Market']
456,Whitbread buys 49% stake in Pure food chain,['buys 49% stake in Pure food chain'],Whitbread,0.365,['Corporate/M&A/M&A']
457,"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",['Chasing Standard Chartered'],Standard Chartered,0.128,['Corporate/Strategy/Corporate Planning']
458,Royal Mail share price rallies amid positive broker comments,['share price rallies'],Royal Mail,0.59,['Stock/Price Action']
459,InterContinental Hotels first-quarter global room revenue lags estimates,['first-quarter global room revenue'],InterContinental,-0.329,['Corporate/Sales']
460,Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,['to Buy Anaesthetics From AstraZeneca for $520 Million'],AstraZeneca,0.395,['Corporate/M&A/M&A']
461,London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit,['Deutsche Boerse merger under threat'],London Stock Exchange,-0.421,['Corporate/M&A/M&A']
462,Sainsbury CFO Rogers to Replace Home Retail CEO Walden,['to Replace Home Retail CEO Walden'],Home Retail,0,['Corporate/Appointment']
463,Sainsbury CFO Rogers to Replace Home Retail CEO Walden,['CFO Rogers to Replace Home Retail CEO'],Sainsbury,0,['Corporate/Appointment/Executive Reshuffle']
464,BP joins forces with Det Norske in Norway,['BP joins forces with Det Norske in Norway'],Det Norske,0.248,['Corporate/Strategy/Company Agreement']
465,BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,['books 4 billion stg H1 sales'],Legal & General,0.252,['Corporate/Sales']
466,Johnson Matthey revs up on clean air drive,['revs up on clean air drive'],Johnson Matthey,0.224,['Corporate/Strategy']
467,"Goldman Sachs, Barclays, HSBC downplay Brexit threat",['downplay Brexit threat'],Barclays,0,['Corporate/Risks']
468,"Goldman Sachs, Barclays, HSBC downplay Brexit threat","['Goldman Sachs, Barclays, HSBC downplay Brexit threat']",Goldman Sachs,-0.147,['Corporate/Risks']
469,"Goldman Sachs, Barclays, HSBC downplay Brexit threat","['Goldman Sachs, Barclays, HSBC downplay Brexit threat']",HSBC,-0.14,['Corporate/Risks']
470,Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,['Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale'],Asahi,0.207,['Corporate/Strategy/Investment']
471,Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,['Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale'],SABMiller,0.329,['Corporate/Strategy/Investment']
472,LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,['wrong to ignore Brexit ris'],Deutsche BÃ¶rse,-0.473,['Corporate/Risks']
473,LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,['dealmakers wrong to ignore Brexit risk'],LSE,-0.415,['Corporate/Risks']
474,Tesco sales recover as focus returns to core business,['sales recover'],Tesco,0.35,['Corporate/Sales']
475,Johnson Matthey profit falls but dividend rises,['but dividend rises'],Johnson Matthey,0,['Corporate/Dividend Policy']
476,"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",['3 must-have growth stocks?'],ASOS plc,0,['Corporate/Rumors/Scoop']
477,"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 4 must-have growth stocks?",['3 must-have growth stocks?'],Domino's Pizza Group plc,0.063,['Corporate/Rumors/Scoop']
478,Priceline's stock jumps to new high for the year after Barclays upgrade,['stock jumps to new high'],Priceline,0.847,['Stock/Coverage']
479,"Tesco set to sell Kipa, Giraffe businesses - Sky News","['set to sell Kipa, Giraffe businesses']",Kipa,-0.192,['Stock/Signal/Sell Signal']
480,"Tesco set to sell Kipa, Giraffe businesses - Sky News","['set to sell Kipa, Giraffe businesses']",Tesco,0.23,['Stock/Signal/Sell Signal']
481,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,['to Acquire AdeS Soy-Based Beverage Business From Unilever'],Coca-Cola Companp,0.259,['Corporate/M&A/M&A']
482,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,['to Acquire AdeS Soy-Based Beverage Business From Unilever'],Coca-Cola FEMSA,0.293,['Corporate/M&A/M&A']
483,HSBC Says Unit to Book $585 Million Charge on Settlement,['$585 Million Charge on Settlement'],HSBC,-0.434,['Corporate/Legal']
484,"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",['secure ownership of Ireland's Dundrum - Quick Facts'],JV Partner,0.427,['Corporate/M&A/M&A']
485,Aviva promises higher dividends to boost flagging share price,['higher dividends'],Aviva,0.281,['Corporate/Dividend Policy']
486,CompaniesFresnillo shares jump 8% as silver price breaks $21,['shares jump 8%'],Fresnillo,0.874,['Stock/Price Action']
487,"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",['Should you buy…. following today's news?'],Dunelm Group plc,0.14,['Corporate/Rumors/Rumors']
488,"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",['Should you buy…. following today's news?'],Great Portland Estates plc,0.165,['Corporate/Rumors/Rumors']
489,Berkshire seeks to boost its Wells Fargo stake above 10 percent,['seeks to boost its Wells Fargo stake above 10 percen'],Wells Fargo,0.429,['Stock/Signal/Buy Signal']
490,Tesco share price tumbles after negative broker note,['share price tumbles a'],Tesco,-0.779,['Stock/Price Action']
491,London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,['Shareholders Approve Merger With'],London Stock Exchange,0.406,['Corporate/M&A/M&A']
492,UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,['applies to boost Wells Fargo stake above 10 percen'],Wells Fargo,0.432,['Stock/Signal/Sell Signal']
493,Berkshire applies to boost Wells Fargo stake above 10 percent,['applies to boost Wells Fargo stake above 10 percen'],Wells Fargo,0.484,['Stock/Signal/Buy Signal']
494,"Aviva, M&G suspend property funds as investors panic",['M&G suspend property funds as investors panic'],M&G,-0.807,['Corporate/Risks']
495,"UK housing market steadies after Brexit dip, Persimmon says",['housing market'],Perssimon,0.339,['Market/Market']
496,BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,['increase dividend pay-out'],Aviva,0.439,['Corporate/Dividend Policy']
497,Builder Persimmon hails 6% rise in house sales,['6% rise in house sales'],Persimmon,0.435,['Corporate/Sales']
498,EasyJet attracts more passengers in June but still lags Ryanair,['attracts more passengers'],Ryanair,0.259,['Corporate/Sales/Sales']
