Headlines,Time,Description
Cramer's lightning round: The reason investors should own Microsoft,2019-08-20,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Payroll service CEO sees no deterioration of growth in medium-sized businesses,2019-08-21,"""I think the economy's been strong,"" Paycom CEO Chad Richison says."
Cramer's primer on cloud stocks: You must know the company if you want to own it,2019-08-21,"There are great cloud plays, ""but if you're going to own these stocks, you need to understand what these companies actually do,"" Jim Cramer says."
Cramer Remix: Lowe's rally was fueled by more than just a strong quarter,2019-08-21,Jim Cramer breaks down how short bets against Lowe's helped power the stock's rally on a second quarter beat and raise.
Cramer: Trump should heed Home Depot's warnings about the consumer and make a trade deal,2019-08-21,"Home Depot CFO Carol Tome says ""consumer confidence is near record high levels"" but ""consumer demand could be impacted"" by lingering U.S.-China trade tensions."
Cramer Remix: I'd be a buyer of VMware on weakness,2019-08-22,Jim Cramer explains why VMware's acquisition doesn't impact his investing thesis.
Cramer's lightning round: The utility stock you want to own and hold,2019-08-22,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Cramer: Underlying economy is good, but fear could drive us into recession",2019-08-22,"""I'd love to say that the optimistic universe is most likely to prevail, but the talking heads talk endlessly about how a recession is inevitable,"" CNBC's Jim Cramer says."
"There is enough economic data for the Fed to warrant a rate cut, Jim Cramer says",2019-08-22,"""The economy may be in good shape now, but if we keep getting more and more tariffs it could deteriorate,"" Jim Cramer says."
"When it comes to Chick-fil-A versus Popeyes, Tyson Foods wins, Jim Cramer says",2019-08-26,"As foodies duke it out over which restaurant makes the best chicken sandwich, Jim Cramer says the biggest winner is not who you think."
Starbucks CEO sees no signs of a looming recession - 'We're firing on all cylinders',2019-08-26,"""We have not seen signs in the U.S. of anything related to a slowdown, but we do know these things go in cycles,"" Starbucks CEO Kevin Johnson says."
Cramer says investors should 'be prepared for more pain' and 'be able to buy that pain',2019-08-26,"Wall Street hasn't seen the last of these brutal sell-offs, but ""there's almost always a bounce after the worst of the carnage,"" Jim Cramer says."
Cramer's lightning round: Financial stocks are off limits until the yield curve improves,2019-08-26,Jim Cramer takes calls and delivers answers on viewers' stock picks of the day.
Cramer Remix: Why the Johnson & Johnson fine isn't so bad for the company,2019-08-26,Jim Cramer explains what the Johnson & Johnson ruling means for the stock.
"Digital wave and values-based business are driving Salesforce's growth, CEO says",2019-08-26,"Companies want to know our values and if they work with us, ""they want to be aligned with those values,"" Salesforce co-CEO Keith Block says."
Jim Cramer breaks down recession fears  E'I think the yield curve linkage is wrong',2019-08-27,"""Until we get some tangible signs that the economy's picking up, you're going to have to get used to the market,"" Jim Cramer says."
Cramer's lightning round: Discipline says sell some of the hot Enphase stock,2019-08-27,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Cramer Remix: I think Wendy's is a star, I'm sticking with the stock",2019-08-28,Jim Cramer breaks down what's behind the strength in Wendy's stock.
Nestle CEO explains the company's sustainability initiatives  E'one of our big themes is recycling',2019-08-28,"CEO Mark Schneider tells Jim Cramer how the food and drink giant is developing aluminum packages that can find a ""useful second life."""
Cramer: 3 charts show investors should get ready for a big rally in the stock market in Sepember,2019-08-28,"""The charts, as interpreted by the legendary Larry Williams, suggest that it's time to stop panicking, stop complaining and start buying,"" Jim Cramer says."
How this 'reluctant investor' overcame her fear and discovered the power of investing,2019-08-30,"Investing doesn't have to be scary  Eit can actually be joyful, says author Danielle Town."
"Cramer's advice for investing in your 20s, 30s, 40s and beyond",2019-08-30,Jim Cramer gives his best advice on how to shape your portfolio for the rest of your life.
Cramer shares a little-known investing concept critical to buying stocks,2019-08-30,Jim Cramer explains why the idea of suitability is crucial when it comes to individual investing.
Cramer explains why investing for kids can have a huge payoff,2019-08-30,Jim Cramer shares the benefits of and top strategies for investing for newborns and young children.
"Yes, disinterested teens can actually make the best investors: Cramer",2019-08-30,Jim Cramer says teenagers' habits can provide valuable clues on the hottest trends in the market.
Cramer Remix: How brand names can help you find long-term winners,2019-08-30,Jim Cramer offers his advice for pinpointing solid investments at a young age.
Cramer Remix: How my father's mistakes inspired me to buy stocks,2019-09-03,Jim Cramer shares his philosophy on owning stocks and why it's important to do your homework.
Cramer's top 4 rules for owning stocks,2019-09-03,"Jim Cramer opened up about mistakes of investing, and his rules for owning individual stocks."
The evolution of Jim Cramer's 'Mad Money': From stock picking to stock educating,2019-09-03,"Jim Cramer takes a stroll down memory lane to discuss how the Great Recession changed the mission of CNBC's ""Mad Money with Jim Cramer."""
This S&P 500 chart just sent a screaming sell signal—here's how to trade it,2019-09-03,"A popular megaphone pattern forming in the chart of the S&P 500 just flashed a bearish signal, warns widely followed strategist Sven Henrich."
Cramer: I used the stock market to pay for Harvard Law School,2019-09-03,Jim Cramer shared the story of how he learned to get an edge on the market.
Cramer's lightning round: Netflix is my least-favorite FAANG stock,2019-09-05,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Jim Cramer makes his top stock picks in his annual 'fantasy portfolio' draft,2019-09-05,"""Managing a diversified portfolio of stocks has a lot in common with putting together a fantasy football team,"" the ""Mad Money"" host says."
"Everything Jim Cramer said on 'Mad Money,' including looming earnings and economic reports",2019-09-06,"Cramer reveals what he expects to see next week in market news, chats with At Home CEO Lee Bird about dodging China tariffs and praises Lululemon's performance, among other things."
"Cramer's Exec Cut: Data-driven changes at Netflix, DoorDash and Domino's",2019-09-06,Jim Cramer examines companies that are driving the data revolution at leading businesses.
Good economic data triggered a 'sea change' in investments on Wall Street: Jim Cramer,2019-09-06,"With positive trade, payroll and manufacturing news, recession talk could subside over the course of a few days, Jim Cramer says."
"Cramer's lightning round: Neogenomics, Yeti, Nutanix and more stocks",2019-09-06,Jim Cramer takes calls and delivers answers on viewers questions about their favorite stock picks.
"The charts show Amazon's stock is bottoming, primed for a 20% gain, Jim Cramer says",2019-09-06,"""The charts, as interpreted by Carolyn Boroden, suggest that Amazon has finally resumed its long-term rally"" toward $2,115, the ""Mad Money"" host says."
Used-car dealer Carvana CEO on worries about profitability: 'We're growing very fast',2019-09-06,Carvana CEO Ernie Garcia is banking on the e-commerce platform's national inventory to lead it to profitability.
Cramer's week ahead: The bond market is 'begging' the Fed to 'slash and burn' rates,2019-09-06,"Jim Cramer has consumer price and retail data on his radar, along with earnings reports from RH, Broadcom and Kroger circled on next week's calendar."
"Everything Jim Cramer said about stocks on 'Mad Money,' including 'one big difference'",2019-09-06,"Jim Cramer reviews Thursday's market moves, chats with the chief of used-car dealer Carvana and marries stock picks with fantasy football."
Jim Cramer breaks down the stocks investors are rotating to on trade and Fed hopes,2019-09-09,"Growth stocks ""are getting annihilated ... because there's a market-wide rotation out of these names,"" Jim Cramer says."
"Cramer's lightning round: Wait a few days, then buy Waste Management",2019-09-09,Jim Cramer takes calls and delivers answers to viewer questions about their favorite stock picks of the day.
Dollar Tree CEO on mitigating tariffs on Chinese imports: 'We play hardball',2019-09-09,"Giving credit to the company's merchants, Dollar Tree CEO tells Jim Cramer how the discount retailer worked with vendors to reduce costs on imports."
"Everything Jim Cramer said on 'Mad Money,' including stock rotation and Chinese consumers",2019-09-09,"Jim Cramer breaks down what sectors investors are placing their money, chats with the CEOs of Dollar Tree, Alteryx and Zoom Video, and tariff impacts on consumers."
Cramer's lightning round: I no longer trust Schlumberger,2019-09-10,Jim Cramer gives viewers his thoughts on callers' favorite stock picks of the day.
Jim Cramer endorses Elliott Management's stake in AT&T: 'I bet the upside is huge',2019-09-10,"I think you should be buying the stock of AT&T, Jim Cramer says."
"Buy the stocks of high-quality companies in the market that investors are dumping, Cramer says",2019-09-11,"""If this market wants to toss out high-quality merchandise, let their trash be your treasure,"" the ""Mad Money"" host says."
"Everything Jim Cramer said on 'Mad Money,' including playing the rotation, gold and bond prices",2019-09-11,"Jim Cramer says buy the stocks of high-quality companies that big funds are selling, gold and bond prices could be peaking, interview with VMware COO and AT&T pressure."
Why Jim Cramer thinks Apple's new iPhone 11 could be a boon to Facebook's Instagram,2019-09-11,"""When you see those terrific camera options for the new iPhone, you know what that's for?"" asks Jim Cramer. ""Instagram."""
"Square's stock is hurting, but it's not a broken company, says Jim Cramer",2019-09-11,"""Square's fundamentals are sound ... which means you can absolutely buy this one into weakness,"" CNBC's Jim Cramer says"
"Charts show gold, bond prices are nearing peak levels, Jim Cramer says",2019-09-11,"U.S. Treasury bond and gold prices are up dramatically and analyst Carley Garner contends it's time for them to come back down, Jim Cramer says."
Jim Cramer: These are the 5 stocks you should buy right now,2019-09-12,"The stocks of Starbucks, VMWare and Splunk have dipped recently, so now is the time to add them to your portfolio, Jim Cramer says."
Cramer: Investors buying stocks on trade optimism are totally misreading the situation,2019-09-12,"Investors are under a false impression that ""we may be having a thaw in our trade war with China,"" Jim Cramer says."
Cramer's favorite market indicator is signaling that stocks are 'way overbought',2019-09-12,"""The S&P's proprietary short-range oscillator ... currently stands at eight, and that's not just overbought, it's way overbought,"" Jim Cramer says."
Why Jim Cramer says investing in SmileDirectClub is a difficult decision,2019-09-13,"""I don't know what the right price is for SDC, but I do know I wouldn't pay more than $16 and change for it,"" Jim Cramer says."
"Everlane needed to open stores because 'basically' no online-only companies are profitable, CEO says",2019-09-13,"""Everybody loves to say you don't spend money online, but the way things work now with Facebook, Instagram, and how much it goes to acquire a customer, then you have to ship it all,"" Everlane CEO Michael Preysman says on ""Mad Money."""
Cramer flags stocks held 'hostage' by trade  Eand others worth looking at,2019-09-13,CNBC's Jim Cramer takes another look at stocks with high exposure to China before earnings season approaches.
Cramer's game plan: Expect the unexpected from both Powell and Trump,2019-09-13,"After a ""monster good week"" for the market, Jim Cramer warns investors to have their guards up ahead of the Federal Reserve's highly anticipated policy meeting."
"Bitcoin's heading to a new all-time high along with the S&P 500, says Fundstrat's Tom Lee",2019-09-15,"""We're inching closer"" to new record highs for bitcoin and stocks, says the Fundstrat Global Advisors co-founder and head of research."
Jim Cramer explains how the market was able to virtually shrug off a major oil shock,2019-09-16,"""In the old days, the averages would've plunged on this kind of oil shock. I know because I've lived through a bunch of them, starting in 1973,"" Jim Cramer says."
"CEO says Paxos offers investors 'confidence of a bank, but the innovation of Silicon Valley'",2019-09-16,"The privately held company is offering PAX Gold, the first regulated gold-backed crypto coin that allows investors to own and trade physical gold."
Jim Cramer reveals 'quick and dirty' Wall Street tricks for buying cloud stocks,2019-09-16,Jim Cramer introduces viewers to the rule of 40 to help valuate which cloud stocks to invest in and to sell.
Cramer's lightning round: When investors should pull the trigger on Ulta Beauty,2019-09-16,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Everything Jim Cramer said on 'Mad Money,' including Saudi oil strikes, valuing cloud stocks, Paxos",2019-09-16,"Jim Cramer breaks down Wall Street's reaction to drone strikes on Saudi Arabian oil facilities, how Wall Street values cloud stocks and interview with Paxos CEO."
"Everything Jim Cramer said on 'Mad Money,' including Fed meeting, Microsoft and Apple, Pelosi",2019-09-17,"Jim Cramer explains what to expect from the Federal Reserve's Sepember meeting, why Microsoft and Apple's stock could soon pop, and his wide-ranging interview with House Speaker Nancy Pelosi."
Cramer's lightning round: Managed care stock fears could be 'overdone',2019-09-17,Jim Cramer takes calls and delivers answers in rapid speed about viewers' favorite stock picks of the day.
"Charts show Microsoft, Apple may be ready to surge and take Wall Street to new heights: Jim Cramer",2019-09-17,"Jim Cramer takes a look at chart analysis of Apple and Microsoft by Stock Market Mentor founder and technician Dan Fitzpatrick, who sees bullish signs in the stocks."
Pelosi explains what role business could play in bringing about social change,2019-09-17,"In an interview with CNBC's Jim Cramer, House Speaker Nancy Pelosi said the country must address income disparity, create new jobs and lead in green technologies."
"Jim Cramer: 'Stand pat,' even if the Fed doesn't satisfy the bullish investors",2019-09-17,"""It's just not worth trying to game this market when you know that, eventually, we're likely to get lower interest rates"" and potentially a NAFTA replacement, Jim Cramer says."
"Banks rallied on a Fed cut, and that's a 'very positive' sign, Jim Cramer says",2019-09-18,"Investors bought bank stocks because there's a chance the Federal Reserve's interest rate cut may ""put an end to this artificially inverted yield curve,"" Jim Cramer says."
"Small, midsize businesses are 'much stronger' than large enterprise right now, Tech Data CEO says",2019-09-18,"""In tech, something is always hot. We can move to where the demand is quickly,"" Tech Data CEO Rich Hume says."
Cramer's lightning round: I think GE will be higher a year from now,2019-09-18,"Jim Cramer hears from viewers about the stocks of General Electric, Trade Desk, Micron, Snap and other companies."
Agco CEO explains how his agricultural company has avoided big losses from US-China trade war,2019-09-18,"""We always wanted to be globally diverse,"" AGCO CEO Martin Richenhagen tells Jim Cramer in a ""Mad Money"" interview."
"Everything Jim Cramer said on 'Mad Money,' including Fed rate cut, Agco CEO on tariffs, and FedEx",2019-09-18,"Jim Cramer reveals a bright spot in Wall Street's reaction to the Fed's move to cut interest rates and chats with CEOs of Cronos, Agco and Tech Data."
Why Jim Cramer thinks Wall Street will 'anoint' Chipotle in the fourth quarter,2019-09-19,"""I wouldn't be surprised if Chipotle can keep climbing through the end of the year,"" the ""Mad Money"" host says."
Jim Cramer says Bernstein's downgrade on Costco creates a buying opportunity,2019-09-19,"""Costco is a best-of-breed retailer that has repeatedly reinvented itself, and if they need to reinvent themselves again, that's exactly what they'll do,"" the ""Mad Money"" host says."
"Cramer's lightning round: Buy AT&T right here, right now",2019-09-19,"Jim Cramer takes calls and delivers thoughts on the stocks of DocuSign, AT&T, Revolve and more."
Why Jim Cramer thinks it's time to sell some of your oil stocks,2019-09-19,"""After a major supply shock failed to move the forward curve, we simply can't expect the oil companies to be aggressive long-term,"" Jim Cramer says."
"Blackstone's Byron Wien: Beyond 2019, forget about 15% yearly gains on S&P 500 for a while",2019-09-19,"The S&P 500 may be on a roll this year, but don't expect it to make double-digit percentage gains in the coming years, says the longtime market strategist."
"Everything Jim Cramer said on 'Mad Money,' including Costco downgrade, Expedia CEO, Chipotle, oil",2019-09-19,"Jim Cramer explains why he disagrees with Bernstein's downgrade of Costco, why Chipotle's stock will win 2019 and what investors should do with oil stocks."
"Everything Jim Cramer said on 'Mad Money,' including the week ahead, iPhone sales, Zscaler CEO",2019-09-20,"Jim Cramer previews the week ahead of earnings and stock market news, projects iPhone sales in China, breaks down AbbVie and Bristol-Myers' latest deals and interviews Zscaler CEO Jay Chaudhry."
"'I'm actually excited' about the iPhone's prospects in China, Jim Cramer says",2019-09-20,"""Sure, the trade war's taking its toll on business ... it's just not taking its toll where it was supposed to,"" Jim Cramer says."
Cramer's lightning round: I think this stock is 'dead in the water',2019-09-20,"Jim Cramer takes calls and gives his thoughts on Thermo Fisher, Kratos Defense, Repligen and more stocks."
Cramer's week ahead: Don't listen to Fed talk; understand the state of the economy,2019-09-20,"Jim Cramer previews the week ahead of earnings, analyst meetings and iPhone sales estimates."
11 years later: Cramer's 'They know nothing!' rant  EHere's the complete transcript,2019-09-21,Jim Cramer sounded off on the Federal Reserve for not anticipating the coming financial crisis 10 years ago today.
Zscaler CEO shrugs off Palo Alto Networks: 'They feel the pain and they try to attack everyone',2019-09-23,"Zscaler CEO Jay Chaudhry tells Jim Cramer the company is ""very bullish"" about its prospects, despite competition for clients from Palo Alto Networks."
"Jim Cramer warns of dot-com era parallels: 'This is not a normal market, so we need to be careful'",2019-09-23,"""You can only go up for so long based on something other than earnings before we have to accept that valuations have gotten out of whack,"" Jim Cramer says."
"The days of sharp, sustained spikes in oil prices are likely gone for now, analyst tells Jim Cramer",2019-09-23,"""When you look at how much resiliency that there is built into the marketplace, I think most of the market assumes that if prices go up, the U.S. and other countries will respond,"" oil analyst Rusty Braziel says."
Canopy Growth CEO: 'We're ready to launch vape products into Canada',2019-09-23,"Canopy Growth CEO Mark Zekulin says Canada has rules that will govern the [vape] products that we put to market,"" while the U.S. battles controversies."
"Everything Jim Cramer said on 'Mad Money,' including stock valuations, Canopy Growth vapes",2019-09-23,"Jim Cramer breaks down similarities he sees in between today's market and the dot-com era, reviews the IPO market, and sits for interviews with the CEOs of Canopy Growth and Nutanix."
Cramer's lightning round: PayPal has a lot of potential 'upside',2019-09-23,Jim Cramer takes calls and delivers answers to viewer questions about their favorite stock picks in rapid speed.
Jim Cramer on the impact of impeachment on the market: 'We've seen this movie before',2019-09-24,"""I say there's no hurry to start buying here, although … history says that you're going to have to try to pull the trigger soon, rather than be left behind,"" CNBC's Jim Cramer says."
"GW Pharma to launch first CBD-based epilepsy drug in Europe 'over the next year or two,' CEO says",2019-09-24,"""We have 28 countries now in Europe that have approved Epidyolex"" to treat epilepsy seizures, GW Pharma CEO Justin Gover says."
"Everything Jim Cramer on 'Mad Money,' including Trump impeachment, Bob Iger chat, new GW Pharma drug",2019-09-24,"Jim Cramer reacts to House Speaker Nancy Pelosi's move to open an impeachment inquiry into President Donald Trump, talks with Disney CEO about his new memoir and interviews GW Pharma CEO."
Apeel Sciences CEO tells Jim Cramer how they save your fruit while saving grocery stores money,2019-09-25,"""We use food to preserve food,"" says Apeel Sciences CEO James Rogers, whose company has partnered with Kroger to sell avocados that age at a slower rate."
Twilio CEO shrugs off stock woes in interview with Jim Cramer  E'We just focus on the long term',2019-09-25,"""When times are good, when times are bad, every company needs to focus on growing their business ... and that's the business that we're in,"" CEO Jeff Lawson says."
Bob Iger tells Jim Cramer why Disney did not buy Twitter  E'I got cold feet for the right reasons',2019-09-25,"""There are things Disney shouldn't even try to do well and that was one of them,"" Disney CEO Bob Iger says."
"Everything Jim Cramer said on 'Mad Money,' including Nike earnings, Twilio CEO, Whirlool's prospects",2019-09-25,"Jim Cramer breaks down Nike's performance in the face of tariffs, sits down with messaging provider Twilio CEO Jeff Lawson, analyzes Whirlpool's stock and says Twitter got away from Disney and Salesforce."
Cramer's lightning round: Shake Shack is hot  Ebuy it on a pullback,2019-09-25,"Jim Cramer gives callers his thoughts on the stocks of Shake Shack, Dollar Tree, Crowdstrike, Six Flags and more stocks in rapid speed."
"Jim Cramer: How Nike keeps delivering results, despite China trade headwinds",2019-09-26,"Instead of being beholden to the trade war, ""Nike's actually the most in control of its own destiny,"" Jim Cramer says."
Resolved trade war would mean better industrial sector: Portfolio manager,2019-09-26,"Ellen Hazen, F.L. Putnam Investment Management, and Ed Keon, QMA chief investment strategist, join 'Squawk Box' to discuss how concerns on USMCA and U.S.-China trade are weighing on the market."
Wall Street is 'terrified' of Elizabeth Warren  EJim Cramer says buy dips in health-care stocks,2019-09-26,"""I think it's too soon to count out UNH. It's too soon to write off Cigna. These companies are coining money,"" Jim Cramer says."
Cramer's lightning round: Lyft is looking like a tax-loss play,2019-09-26,"Jim Cramer opines on the stocks of Lyft, Advanced Micro Devices, Activision Blizzard and more stocks in rapid speed."
"Jim Cramer breaks down Peloton's IPO, reveals the right time to buy the stock",2019-09-26,Exercise equipment manufacturer Peloton debuted on the Nasdaq Composite at $27 per share. Jim Cramer recommends starting a position at least $4 below the open price.
Millennial home buying is trending up with 'demographic tailwinds': Taylor Morrison CEO,2019-09-26,"""People are feeling good and their confidence is absolutely showing in the real estate market,"" CEO Sheryl Parker says."
Cramer: Put recession fears aside and buy these 2 office furniture stocks,2019-09-26,"""As long as the job market stays strong, companies will keep paying up to make their workspaces more attractive and entice the workers they need,"" Jim Cramer says."
Jim Cramer's week ahead: We need more downside before I'm ready to get more positive,2019-09-27,"Overbought markets ""tend to get hit with sell-offs, especially when we're being flooded with shoddy IPOs,"" Jim Cramer says."
Cramer's lightning round: 'Peloton's stinking up the joint',2019-09-27,Jim Cramer takes calls and delivers answers to viewers' questions about their favorite stock picks of the day.
"Everything Jim Cramer said on 'Mad Money,' including presidential fears, Peloton IPO, housing market",2019-09-27,"Jim Cramer explains why Elizabeth Warren's presidential prospects are dropping managed care stocks, and breaks down Peloton's IPO, sits down with the CEO of homebuilder Taylor Morrison and recommends stock picks."
Jim Cramer: These foreign drug stocks are worth betting on over domestics,2019-09-27,"""If you want big pharma exposure, with fewer headaches related to U.S. politics, you could always buy a well-run foreign drug company,"" CNBC's Jim Cramer says."
"Everything Jim Cramer said on 'Mad Money,' including investing next week, foreign drug stocks",2019-09-29,"Jim Cramer breaks down the Trump administration considering curbs on U.S. investing in Chinese businesses, recommends foreign pharmaceutical companies, reviews Conagra's earnings report and interview GoodRx CEO Doug Hirsch."
Cramer Remix: The fundamentals of evaluating stock moves,2019-09-30,Jim Cramer discusses the fundamentals everyone needs to know about investing and where to focus your energy when watching the markets.
"Everything Jim Cramer said on 'Mad Money,' including manufacturing data, Chinese IPOs, restaurants",2019-10-01,"Jim Cramer advises that investors shake off Sepember's poor manufacturing read, worry less about a potential Elizabeth Warren presidency, examines the stocks of Chipotle, McDonald's and Jack in the Box and interviews the CEO of ConEd."
ConEd CEO explains how utility stocks react to interest rates  EIt's 'a knife that cuts both ways',2019-10-01,Consolidated Edison CEO John McAvoy tells Jim Cramer how utility stocks are related to the bond market and where the company is investing in renewable energy.
"Cramer's lightning round: 'I'm not a Netflix fan, here'",2019-10-01,Jim Cramer takes calls from viewers and delivers his thoughts about their favorite stock picks of the day.
Jim Cramer: It should be harder for Chinese companies to go public in the US,2019-10-01,"""This is purely about protecting investors from garbage merchandise,"" the ""Mad Money"" host says."
Jim Cramer says this is 'a good time to start looking for stocks to buy into weakness',2019-10-01,"To investors who fear a recession or a Warren presidency, Jim Cramer says, ""I think you're going to miss out on some terrific opportunities."""
"In this unpredictable market, buy stock in spice and food giant McCormick, Jim Cramer says",2019-10-02,"""As long as the market remains choppy, I think this stock is worth owning, and I like it even more after today's pullback,"" Jim Cramer says."
Paychex CEO to Jim Cramer: Small business hiring picked up in Sepember despite slowdown worries,2019-10-02,"While businesses have some concern about the overall economy, they're hiring to meet demand for products and ""that's good news,"" payroll provider Paychex CEO Martin Mucci tells Jim Cramer."
Cramer's lightning round: You can slowly pick at Trade Desk as it goes down,2019-10-02,Jim Cramer takes call and delivers thoughts on callers' favorite stock picks of the day.
"Everything Jim Cramer said on 'Mad Money,' including earnings season, EU tariffs, Constellation CEO",2019-10-03,"Jim Cramer breaks down how to judge the coming earnings season, interviews Constellation Brands CEO after shares sink, calls Ulta Beauty a buy and bemoans Trump's tariffs on the European Union."
"Trade wars with the EU, China could be 'self-defeating' for Trump's presidency, Jim Cramer says",2019-10-03,"""Mr. President: It's time to get a deal done, something not unilateral, just to show that we still have a functioning government when it comes to trade,"" ""Mad Money's"" Jim Cramer says."
Jim Cramer says his favorite indicator 'isn't down enough for me to turn positive',2019-10-03,"""After a market becomes overbought, you wait until it gets oversold, then you pounce,"" the ""Mad Money"" host says."
"Ulta Beauty had a rough few weeks, but it's time to buy the cosmetics retailer, Jim Cramer says",2019-10-03,"""With insiders buying again and the stock looking very cheap versus its growth rate, I think Ulta's too tempting here to ignore,"" Jim Cramer says."
"Everything Jim Cramer said on 'Mad Money,' including market sell-off plays, Paychex CEO interview",2019-10-03,"Jim Cramer explains why he's not yet positive after days of sell-offs, where investors can take a chance and buy some stocks and the state of going public. He also gets a read on small business hiring."
Jim Cramer explains how to judge this earnings season: 'Not as bad as feared',2019-10-03,"If stocks drop after the Sepember nonfarm payroll report is released, here are some stocks investors can play, says Jim Cramer."
Cramer's lightning round: There's a reason Square is not moving higher,2019-10-03,Jim Cramer takes calls and delivers his thoughts to callers' questions about their favorite stock picks of the day.
Constellation CEO says stock fell on earnings after Canopy losses 'mixed up' investors,2019-10-03,Constellation Brands CEO Bill Newlands defends the beer company's quarterly report and reaffirms trust in Canopy after the stock dropped 6% on earnings.
Stitch Fix CEO says the online-styling company could feel impact of future tariffs hike,2019-10-04,"""Tariffs that we've had to date don't impact us. The ones that are being contemplated now potentially could,"" Stitch Fix CEO Katrina Lake says."
Sepember's unemployment rate hit a 50-year-low —Five economists on what this means for markets,2019-10-04,"The Sepember jobs reports was slightly better than expectations. The U.S. added 136,00 nonfarm payrolls and the unemployment rate fell to 3.5 percent, the lowest level in 50 years."
Cramer's week ahead: Prepare for companies to adjust forecasts to new round of tariffs,2019-10-04,"""Better batten down the hatches and get ready for companies to adjust their numbers going into a new round of tariffs that … they're most likely unprepared for,"" Jim Cramer says."
Cramer's lightning round: I think Nike goes higher,2019-10-04,Jim Cramer takes calls and delivers his thoughts to callers about their favorite stock picks of the day.
Jim Cramer: I think this is the time to start buying shares of Clorox,2019-10-04,"""When I see this kind of pullback in Clorox, I don't think sell. I think buy, although there might be more downside before it bottoms,"" the ""Mad Money"" host says."
"Everything Jim Cramer said on 'Mad Money,' including China trade, buy Clorox, Stitch Fix CEO, REITs",2019-10-04,"Jim Cramer takes a look at the week ahead in stock market news, including anticipation of U.S.-China trade talks, explains why Clorox is a buy and interviews Stitch Fix CEO Katrina Lake."
Jim Cramer: Investors who bailed on Costco's misleading quarter made a costly mistake,2019-10-07,"""It's never been a mistake to give Costco the benefit of the doubt,"" Jim Cramer of ""Mad Money"" says days after the retailer's mixed quarterly report."
"Tune out the bears  EWe can 'make it through a garden-variety slowdown,' Jim Cramer says",2019-10-07,"""I think if we made it through the Great Recession, we [are] going to make it through a garden-variety slowdown like we might be experiencing now,"" Jim Cramer says."
Jim Cramer doubles down on Cedar Fair after Six Flags bid rejected,2019-10-07,"Investors should start a small position in amusement park operator Cedar Fair and buy more on a pullback, the ""Mad Money"" host says."
Cramer's lightning round: Disney 'has a great long-term situation brewing',2019-10-07,Jim Cramer takes calls and delivers answers to viewers' questions about their favorite stock picks in rapid speed.
"October's market 'trick' could turn into a 'treat' for investors by year-end, says strategist",2019-10-08,"Stocks are sinking to start off October, but strategist Stephen Suttmeier of Bank of America Merrill Lynch says the charts are suggesting that the pain won't last."
Domino's Pizza CEO says there is 'irrational pricing' in the rival third-party delivery marketplace,2019-10-08,"""We don't know how long that'll last, but as we look out over the next two to three years ... we've got a terrific business model,"" Domino's CEO Ritch Allison says."
'Timing couldn't have been worse' for the Trump administration to issue bans on China: Jim Cramer,2019-10-08,"""I think you need to be very careful as this market readjusts and re-calibrates its expectations,"" CNBC's Jim Cramer says."
Jim Cramer: Chart analyst warns the S&P 500 is 'cruising for a bruising',2019-10-08,"Technical analysis Bob Moreno, who called the bottom in December, predicts the S&P 500 is on its way to plummet 10%, CNBC's Jim Cramer says."
Cramer's lightning round: Roku should never have spiked so high,2019-10-08,Jim Cramer takes calls from viewers and delivers his thoughts on their favorite stock picks of the day in rapid speed.
"Everything Jim Cramer said on 'Mad Money,' including Fed influence, Costco's quarter, Cedar Fair bid",2019-10-08,"Jim Cramer gives a brief history of the stock market, talks Costco's quarter and Six Flags' rejected takeover bid for Cedar Fair, chats with RinggCentral CEO Vlad Shmunis and takes a look at what's at stake for trade talks later this week."
"New highs are in store for the S&P 500 this year according to this chart, says top strategist",2019-10-09,"Stocks are sinking to start off October, but strategist Stephen Suttmeier says the charts are suggesting that the pain won't last."
"Everything Jim Cramer said on 'Mad Money,' including China blacklist, Domino's earnings, S&P 500 run",2019-10-09,"In Tuesday's ""Mad Money"" episode, Jim Cramer derides the Trump administration's ban on Chinese companies, interviews Domino's CEO Ritch Allison after earnings and sees what's in store for the S&P 500."
Jim Cramer makes major shift: Buy a small portion in Bed Bath & Beyond,2019-10-10,"""Bed Bath's been punished enough. Now that they've got a competent CEO, better than that, a great CEO coming in, I'm betting the stock could have a lot more upside,"" Jim Cramer says."
Jim Cramer reveals a rubric for finding stocks in this 'treacherous market',2019-10-10,"Jim Cramer of ""Mad Money"" walks investors through his rubric for ""what's worth buying in this treacherous moment."""
CEO of Spam maker Hormel: Our 'food journey' is linked to improving our environmental impact,2019-10-10,"The Hormel portfolio is focused on ""improving the lives of consumers"" and the three pillars of our food journey [is] ""where we're making a difference,"" Jim Snee says."
